               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12018,            0.048061,            0.037044,             0.15639,                 0.1,             0.04626,           0.0067477,             0.11697,            0.033552,            0.043512,                   0,                   0,                 0.1
                   1,             0.12402,            0.045483,            0.035808,             0.15615,                 0.1,            0.043483,            0.010368,             0.11564,             0.03389,            0.044514,          9.9998e-06,          9.9998e-06,             0.09991
                   2,             0.12246,            0.056053,            0.034685,             0.16359,                 0.1,            0.043565,            0.010405,             0.11549,            0.033846,            0.044379,          1.9998e-05,          1.9998e-05,             0.09982
                   3,             0.12228,            0.038474,            0.036193,             0.16178,            0.097067,            0.043526,           0.0069803,              0.1152,             0.03376,            0.044207,          2.9993e-05,          2.9993e-05,             0.09973
                   4,             0.12267,            0.040954,            0.034688,             0.15986,            0.095916,            0.043748,            0.010247,             0.11505,            0.033667,            0.044022,          3.9984e-05,          3.9984e-05,             0.09964
                   5,             0.12218,            0.037244,            0.036272,             0.15665,            0.093987,             0.04763,            0.010051,             0.11467,            0.033561,            0.043872,          4.9969e-05,          4.9969e-05,             0.09955
                   6,             0.12443,            0.044803,            0.036594,             0.16503,            0.099017,            0.047492,           0.0065385,               0.114,            0.033515,            0.043675,          5.9947e-05,          5.9947e-05,             0.09946
                   7,             0.12142,            0.049933,            0.035515,             0.16162,            0.096973,            0.047875,           0.0063874,             0.11339,            0.033487,            0.043499,          6.9915e-05,          6.9915e-05,             0.09937
                   8,             0.11912,            0.059676,            0.036162,             0.14564,                 0.1,            0.048116,            0.010444,             0.11268,            0.033444,            0.043352,          7.9874e-05,          7.9874e-05,             0.09928
                   9,             0.11964,            0.047243,            0.035022,            0.073103,                 0.1,            0.040297,           0.0088766,             0.11175,            0.033413,            0.043175,           8.982e-05,           8.982e-05,             0.09919
                  10,             0.12396,             0.05973,            0.035897,             0.07517,                 0.1,            0.035847,           0.0080031,             0.11082,            0.033399,             0.04299,          9.9753e-05,          9.9753e-05,              0.0991
                  11,             0.11767,            0.068217,            0.035018,            0.080984,                 0.1,            0.032871,           0.0081563,             0.10994,            0.033394,            0.042785,          0.00010967,          0.00010967,             0.09901
                  12,             0.11924,            0.066748,            0.034342,            0.054259,                 0.1,            0.030277,           0.0076117,             0.10896,            0.033419,            0.042485,          0.00011957,          0.00011957,             0.09892
                  13,             0.11965,            0.057758,            0.032943,            0.056408,                 0.1,            0.030769,            0.007712,             0.10773,            0.033434,            0.042429,          0.00012946,          0.00012946,            0.098829
                  14,             0.11728,            0.039702,            0.037662,            0.054195,                 0.1,            0.029537,           0.0056417,             0.10649,            0.033524,            0.042062,          0.00013932,          0.00013932,            0.098739
                  15,             0.11609,            0.037678,            0.032161,            0.053994,                 0.1,            0.030756,           0.0055261,             0.10509,             0.03352,            0.041915,          0.00014917,          0.00014917,            0.098649
                  16,             0.11728,            0.043293,            0.034182,            0.036931,             0.46717,            0.029841,           0.0055029,              0.1034,            0.033589,            0.041876,          0.00015899,          0.00015899,            0.098559
                  17,             0.11739,            0.052471,            0.032842,            0.041438,                 0.5,            0.030448,           0.0056078,             0.10182,            0.033603,            0.041672,          0.00016879,          0.00016879,            0.098469
                  18,             0.11757,            0.051934,             0.03495,            0.042012,                 0.5,            0.029865,           0.0056234,             0.10024,            0.033653,            0.041509,          0.00017857,          0.00017857,            0.098379
                  19,             0.11489,            0.049485,            0.032798,            0.042067,                 0.5,            0.028791,           0.0055704,            0.099021,            0.033667,            0.041367,          0.00018831,          0.00018831,            0.098288
                  20,             0.11703,            0.052546,            0.033857,            0.042666,                 0.5,            0.027846,           0.0054487,            0.097404,            0.033694,             0.04112,          0.00019803,          0.00019803,            0.098198
                  21,             0.11465,             0.03746,            0.033494,            0.045111,                 0.5,            0.026037,            0.005531,            0.095424,            0.033789,            0.040499,          0.00020772,          0.00020772,            0.098108
                  22,             0.11543,            0.036247,            0.036557,            0.024371,                 0.4,            0.016494,           0.0045651,            0.093503,            0.033852,            0.040252,          0.00021738,          0.00021738,            0.098017
                  23,             0.11334,            0.055167,            0.032628,             0.02539,                 0.4,            0.016025,           0.0045395,            0.091688,            0.033886,            0.040037,          0.00022701,          0.00022701,            0.097927
                  24,             0.11411,            0.044035,            0.033704,            0.019307,                 0.4,            0.015919,           0.0041896,            0.089816,            0.033932,            0.039562,          0.00023661,          0.00023661,            0.097837
